site	path	bytes	sha256	horizon	soc_points	z_points	alpha_length	beta_length	z_min	z_max
1	results_sdp/sweep_wdwe2_k20/value_functions/1.jld2	1201185	a6050f7e116c72e97a279b7fe5eb747c64e91918cc0bae88f00103f037fe0c85	673	11	20	672	672	-198.19304348097154	243.71292670651803
2	results_sdp/sweep_wdwe2_k20/value_functions/2.jld2	1201185	881c1a80ed9ac8b548b5f7d11058d9f3e7bab7a3912d9f0f8bc72bb93d80db0d	673	11	20	672	672	-86.16991200623576	77.21740765481414
3	results_sdp/sweep_wdwe2_k20/value_functions/3.jld2	1201185	0fb19c7e15ad95b87ee5e153084b9a06d3371883bfe14fb1caf68f0b144562b2	673	11	20	672	672	-58.594920900651275	57.81765996870067
4	results_sdp/sweep_wdwe2_k20/value_functions/4.jld2	1201185	37a909ee5b6995e8a769348e148c23a5b55731c27476371d7c247cd9a2cdd0d7	673	11	20	672	672	-436.85308463114234	529.6747947707096
5	results_sdp/sweep_wdwe2_k20/value_functions/5.jld2	1201185	00b0329f555db9a128ef3deb5af68900a1487e895a0b660526f5194e09bbe8b9	673	11	20	672	672	-4.352153058831582	4.20491761253976
6	results_sdp/sweep_wdwe2_k20/value_functions/6.jld2	1201185	97e3207d0d981aaf59f6f620fbce77c0b6bf875e9cdf9885bfa9c6971db7d7b4	673	11	20	672	672	-693.3835276687624	689.5020966769482
7	results_sdp/sweep_wdwe2_k20/value_functions/7.jld2	1201185	067e6d65d1a59f951c3a45839dcd339e8927ad55910caa8744f8fb9a7c71e2b5	673	11	20	672	672	-721.2991973205976	632.3357875631978
8	results_sdp/sweep_wdwe2_k20/value_functions/8.jld2	1201185	93ae263de0724a57778bc791524577845f32f7dec4adc0069eda7fa7d5864e3c	673	11	20	672	672	-287.3882317553601	413.41134503262526
9	results_sdp/sweep_wdwe2_k20/value_functions/9.jld2	1201185	150db6ba0577db342e778a7f0f00daa243a5564539fe023745795517cfd435ed	673	11	20	672	672	-3.7813770311888626	5.866826149096227
10	results_sdp/sweep_wdwe2_k20/value_functions/10.jld2	1201185	dae131e8e57126fde00732948ff37fe69fa2c8a40969e165d5965f39d4fe0995	673	11	20	672	672	-373.0029837139274	468.396436902572
11	results_sdp/sweep_wdwe2_k20/value_functions/11.jld2	1201185	41ea3c6d44799a19063f244cce4f90164eb525216b8f6d25f1aaaae189323344	673	11	20	672	672	-1375.5075582500658	1323.4343715263674
12	results_sdp/sweep_wdwe2_k20/value_functions/12.jld2	1201185	6f1b0c3f70bde7d424ea2eda212d3e581b9054ffff5dbd483da2765b22ff0edf	673	11	20	672	672	-1156.9125868202746	1064.7311894014597
13	results_sdp/sweep_wdwe2_k20/value_functions/13.jld2	1201185	56a079126d57c2381db277e62df5b7d1353d213d87dae6f15f146dd8be838991	673	11	20	672	672	-631.6936355228675	738.4407137040462
14	results_sdp/sweep_wdwe2_k20/value_functions/14.jld2	1201185	943230e0f50463c47be8f8d218f9810ef88defddda48f35a4c16a4631131fc65	673	11	20	672	672	-88.06852431478893	103.76815751652848
15	results_sdp/sweep_wdwe2_k20/value_functions/15.jld2	1201185	04e628a19882c593a21d8b29f8bc2fefe199aeaa481737b01f64a8d803d07d2b	673	11	20	672	672	-240.13554720955358	364.3564442702325
16	results_sdp/sweep_wdwe2_k20/value_functions/16.jld2	1201185	b60d3df122a8f9bc4585a9503a93632a8a6a822b65c41687fb76148c9604ed87	673	11	20	672	672	-413.48356505873005	479.1400348972087
17	results_sdp/sweep_wdwe2_k20/value_functions/17.jld2	1201185	42757df6cae77450a9d1c4218e9c5b57f5ec8dcae28f8905cf52f0c82ea15d60	673	11	20	672	672	-987.8276409855299	834.5031579692812
18	results_sdp/sweep_wdwe2_k20/value_functions/18.jld2	1201185	0b0618cdd3bdff5912cb1b3890cd6bf6b0c4a673e0e6a67a18d7d1fbd8f2852d	673	11	20	672	672	-610.044995160605	684.1931440321368
19	results_sdp/sweep_wdwe2_k20/value_functions/19.jld2	1201185	f898b61600f7f6f8d260bab46a048e44f0576d65d2e47a3ea512e46d038ff5ae	673	11	20	672	672	-683.248238999308	688.9312153785087
