t	load	pv	z_settle	EXPLOIT	R_P	R_FE96	S_AR
1	51.75	0.0	52.02	-1.0	1.0	1.0	1.0
2	52.54	0.0	52.71	-1.0	1.0	1.0	1.0
3	51.71	0.0	51.28	-1.0	1.0	1.0	1.0
4	52.14	0.0	51.81	-1.0	1.0	1.0	1.0
5	51.62	0.0	51.37	-1.0	1.0	1.0	1.0
6	52.35	0.0	52.05	-1.0	1.0	1.0	1.0
7	52.09	0.0	51.51	-1.0	1.0	1.0	1.0
8	52.11	0.0	52.36	-1.0	1.0	1.0	1.0
9	52.51	0.0	51.42	-1.0	1.0	1.0	1.0
10	52.09	0.0	51.77	-1.0	1.0	1.0	1.0
11	51.87	0.0	51.92	-1.0	1.0	1.0	1.0
12	52.13	0.0	51.9	-1.0	1.0	1.0	1.0
13	51.18	0.0	51.84	-1.0	1.0	1.0	1.0
14	52.1	0.0	51.81	-1.0	1.0	1.0	1.0
15	51.39	0.0	52.69	-1.0	1.0	1.0	1.0
16	51.91	0.0	51.12	-1.0	1.0	1.0	1.0
17	52.3	0.0	52.03	-1.0	0.8	0.8	0.8
18	52.07	0.0	52.55	-1.0	0.0	0.0	0.0
19	52.79	0.0	51.61	-1.0	0.0	0.0	0.0
20	52.31	0.0	51.67	-1.0	0.0	0.0	0.0
21	52.1	0.0	51.7	-1.0	0.0	0.0	0.0
22	52.25	0.0	52.95	-1.0	0.0	0.0	0.0
23	53.13	0.0	51.37	-1.0	0.0	0.0	0.0
24	52.07	0.0	50.82	-1.0	0.0	0.0	0.0
25	52.72	0.0	52.34	-1.0	0.0	0.0	0.0
26	52.34	0.0	52.56	-1.0	0.0	0.0	0.0
27	52.29	0.0	52.24	-1.0	0.0	0.0	0.0
28	52.38	0.17	58.11	-1.0	0.0	0.0	0.0
29	53.52	1.18	60.03	-1.0	-1.0	0.0	-1.0
30	51.98	3.46	65.19	-1.0	-1.0	0.0	-1.0
31	52.99	7.24	61.27	-1.0	-1.0	0.0	-1.0
32	52.94	12.17	56.45	-1.0	-1.0	-0.5	-1.0
33	52.54	17.4	52.25	-1.0	-1.0	-0.8	-1.0
34	52.42	23.79	47.36	-1.0	-1.0	-0.2	-1.0
35	53.12	30.37	39.72	-1.0	-1.0	0.0	-1.0
36	52.88	36.87	33.1	-1.0	-1.0	0.0	-1.0
37	53.26	42.94	27.14	-1.0	-1.0	0.0	0.0
38	53.07	49.01	20.75	-1.0	-1.0	0.0	-1.0
39	53.36	55.53	12.33	-1.0	-1.0	0.0	-1.0
40	53.6	61.01	5.7	-1.0	-0.6	0.0	-1.0
41	51.59	65.99	0.33	-1.0	-0.3	0.0	-0.2
42	52.87	69.47	-3.13	-1.0	0.0	0.0	-0.8
43	52.66	73.99	-9.53	-1.0	0.2	0.0	-0.2
44	53.24	78.37	-17.05	-1.0	0.5	0.0	-0.3
45	52.38	82.53	-19.87	-1.0	0.9	0.0	0.5
46	53.23	86.99	-22.01	-1.0	1.0	-0.3	-0.1
47	52.58	83.36	-26.29	-1.0	1.0	-0.4	0.5
48	53.06	95.27	-28.65	-1.0	1.0	-1.0	-0.1
49	52.27	90.72	-31.02	-1.0	1.0	-1.0	0.6
50	52.66	87.38	-31.99	-1.0	1.0	-1.0	0.1
51	52.93	98.78	-32.65	-1.0	1.0	-1.0	1.0
52	52.79	98.45	-33.55	-1.0	1.0	-1.0	1.0
53	52.71	99.95	-35.52	-1.0	1.0	-1.0	1.0
54	52.27	101.11	-21.59	-1.0	1.0	-1.0	1.0
55	52.88	103.1	-38.7	-1.0	1.0	-1.0	1.0
56	52.31	90.65	-37.42	-1.0	1.0	-1.0	1.0
57	51.65	102.48	-34.04	-1.0	0.6	-0.4	1.0
58	52.98	77.7	-34.02	-1.0	0.0	-0.4	0.7
59	52.97	100.77	-24.41	-1.0	0.0	-0.1	1.0
60	52.63	87.51	-27.71	-1.0	0.0	0.0	0.8
61	53.83	80.31	-24.36	-1.0	0.0	0.0	0.5
62	52.5	53.01	-18.92	-1.0	0.0	0.0	0.8
63	52.67	62.2	-13.27	-1.0	0.0	0.0	0.4
64	52.95	43.84	-7.19	-1.0	0.0	-0.1	0.5
65	52.68	68.74	-4.98	-1.0	0.0	0.0	0.2
66	52.99	60.11	-1.01	-1.0	0.0	0.0	0.0
67	52.41	79.2	2.31	-1.0	0.0	-0.4	0.0
68	52.68	69.3	8.83	-1.0	-0.1	-1.0	0.0
69	53.1	54.73	15.29	-1.0	-0.5	-1.0	-0.3
70	52.32	45.43	24.42	-1.0	-0.8	-0.5	-0.6
71	52.36	58.64	22.88	-1.0	-1.0	0.0	-0.8
72	52.28	52.39	21.46	-1.0	-1.0	0.0	-0.9
73	52.69	44.99	26.55	-1.0	-1.0	0.0	-0.8
74	52.75	36.64	33.76	-1.0	-1.0	0.0	-1.0
75	52.28	30.75	43.09	-1.0	-1.0	0.0	-1.0
76	52.41	22.97	50.28	-1.0	-1.0	0.0	-1.0
77	51.44	16.33	56.58	-1.0	-1.0	0.0	-1.0
78	51.56	11.82	48.22	-1.0	-1.0	0.0	-1.0
79	52.29	6.8	51.56	-1.0	-1.0	0.0	-1.0
80	51.59	3.49	54.47	-1.0	-1.0	0.0	-1.0
81	51.55	1.46	54.43	-1.0	-1.0	0.0	-1.0
82	51.91	0.66	56.82	-1.0	-1.0	0.0	-1.0
83	52.57	0.08	56.12	-1.0	-1.0	0.0	-0.7
84	51.44	0.0	57.47	-1.0	-0.7	0.0	-1.0
85	51.66	0.0	57.34	-1.0	0.0	0.0	-0.3
86	51.58	0.0	55.78	-1.0	0.0	0.0	-0.3
87	51.41	0.0	56.62	-1.0	0.0	0.0	0.0
88	52.57	0.0	54.97	-1.0	0.0	0.0	0.0
89	51.09	0.0	56.6	-1.0	0.0	0.0	0.0
90	52.41	0.0	55.71	-1.0	0.0	0.0	0.0
91	51.58	0.0	55.84	-1.0	0.0	0.0	0.0
92	52.47	0.0	55.7	-1.0	0.0	0.0	0.0
93	52.54	0.0	55.95	-1.0	1.0	1.0	1.0
94	52.04	0.0	55.66	-1.0	1.0	1.0	1.0
95	53.36	0.0	53.91	-1.0	1.0	1.0	1.0
96	52.37	0.0	53.67	-1.0	1.0	1.0	1.0
97	52.55	0.0	54.01	-1.0	1.0	1.0	1.0
98	52.02	0.0	54.54	-1.0	1.0	1.0	1.0
99	52.71	0.0	54.6	-1.0	1.0	1.0	1.0
100	51.28	0.0	54.78	-1.0	1.0	1.0	1.0
101	51.81	0.0	54.53	-1.0	1.0	1.0	1.0
102	51.37	0.0	54.44	-1.0	1.0	1.0	1.0
103	52.05	0.0	53.3	-1.0	1.0	1.0	1.0
104	51.51	0.0	55.17	-1.0	1.0	1.0	1.0
105	52.36	0.0	54.1	-1.0	1.0	1.0	1.0
