t	soc	u	cost	cumCost
1	0.0594	1.0	9.2	9.2
2	0.1188	1.0	9.2893	18.49
3	0.1781	1.0	9.1036	27.59
4	0.2375	1.0	9.1733	36.77
5	0.2969	1.0	9.1153	45.88
6	0.3562	1.0	9.2039	55.09
7	0.4156	1.0	9.1338	64.22
8	0.475	1.0	9.2446	73.46
9	0.5344	1.0	9.1224	82.59
10	0.5938	1.0	9.1682	91.75
11	0.6531	1.0	9.1871	100.94
12	0.7125	1.0	9.1839	110.13
13	0.7719	1.0	9.1761	119.3
14	0.8312	1.0	9.1722	128.47
15	0.8906	1.0	9.2866	137.76
16	0.95	1.0	9.083	146.84
17	0.9975	0.8	8.7136	155.56
18	0.9975	0.0	6.8313	162.39
19	0.9975	0.0	6.7099	169.1
20	0.9975	0.0	6.7168	175.81
21	0.9975	0.0	6.7204	182.54
22	0.9975	0.0	6.8837	189.42
23	0.9975	0.0	6.6779	196.1
24	0.9975	0.0	6.6064	202.7
25	0.9975	0.0	6.8038	209.51
26	0.9975	0.0	6.8329	216.34
27	0.9975	0.0	6.7914	223.13
28	0.9975	0.0	7.5542	230.69
29	0.9975	0.0	10.2043	240.89
30	0.9975	0.0	11.0821	251.97
31	0.9975	0.0	10.4154	262.39
32	0.9646	-0.5	8.0035	270.39
33	0.912	-0.8	6.3323	276.72
34	0.8988	-0.2	7.4131	284.14
35	0.8988	0.0	6.7524	290.89
36	0.8988	0.0	5.6274	296.52
37	0.8988	0.0	4.6138	301.13
38	0.8988	0.0	3.5269	304.66
39	0.8988	0.0	2.0961	306.75
40	0.8988	0.0	0.9684	307.72
41	0.8988	0.0	0.0564	307.78
42	0.8988	0.0	-0.2191	307.56
43	0.8988	0.0	-0.667	306.89
44	0.8988	0.0	-1.1937	305.7
45	0.8988	0.0	-1.3911	304.31
46	0.8791	-0.3	-1.9343	302.37
47	0.8528	-0.4	-2.3655	300.01
48	0.787	-1.0	-3.3181	296.69
49	0.7212	-1.0	-3.4841	293.2
50	0.6554	-1.0	-3.5515	289.65
51	0.5896	-1.0	-3.598	286.06
52	0.5238	-1.0	-3.6611	282.39
53	0.458	-1.0	-3.7989	278.6
54	0.3922	-1.0	-2.8237	275.77
55	0.3264	-1.0	-4.0217	271.75
56	0.2607	-1.0	-3.9316	267.82
57	0.2343	-0.4	-2.9076	264.91
58	0.208	-0.4	-2.9061	262.0
59	0.2014	-0.1	-1.84	260.16
60	0.2014	0.0	-1.9396	258.22
61	0.2014	0.0	-1.7049	256.52
62	0.2014	0.0	-1.3243	255.2
63	0.2014	0.0	-0.929	254.27
64	0.1949	-0.1	-0.6345	253.63
65	0.1949	0.0	-0.3489	253.28
66	0.1949	0.0	-0.0706	253.21
67	0.1686	-0.4	-0.3633	252.85
68	0.1028	-1.0	-0.6945	252.16
69	0.037	-1.0	-0.2425	251.91
70	0.0041	-0.5	2.5574	254.47
71	0.0041	0.0	3.8895	258.36
72	0.0041	0.0	3.648	262.01
73	0.0041	0.0	4.5136	266.52
74	0.0041	0.0	5.74	272.26
75	0.0041	0.0	7.3261	279.59
76	0.0041	0.0	8.5476	288.13
77	0.0041	0.0	9.6185	297.75
78	0.0041	0.0	8.1972	305.95
79	0.0041	0.0	8.7656	314.72
80	0.0041	0.0	9.2591	323.98
81	0.0041	0.0	9.2526	333.23
82	0.0041	0.0	9.6598	342.89
83	0.0041	0.0	9.5404	352.43
84	0.0041	0.0	9.7695	362.2
85	0.0041	0.0	9.7478	371.95
86	0.0041	0.0	9.4829	381.43
87	0.0041	0.0	9.6262	391.05
88	0.0041	0.0	9.345	400.4
89	0.0041	0.0	9.6225	410.02
90	0.0041	0.0	9.4708	419.49
91	0.0041	0.0	9.4926	428.99
92	0.0041	0.0	9.4693	438.45
93	0.0635	1.0	9.7107	448.17
94	0.1228	1.0	9.6728	457.84
95	0.1822	1.0	9.446	467.28
96	0.2416	1.0	9.4147	476.7
97	0.301	1.0	9.4582	486.16
98	0.3603	1.0	9.5283	495.69
99	0.4197	1.0	9.5355	505.22
100	0.4791	1.0	9.5594	514.78
101	0.5385	1.0	9.5267	524.31
102	0.5978	1.0	9.5148	533.82
103	0.6572	1.0	9.366	543.19
104	0.7166	1.0	9.6092	552.8
105	0.776	1.0	9.4708	562.27
106	0.8353	1.0	9.5361	571.8
107	0.8947	1.0	9.5385	581.34
108	0.9541	1.0	9.3848	590.73
109	0.9956	0.7	8.7553	599.48
110	0.9956	0.0	6.9743	606.46
111	0.9956	0.0	7.1256	613.58
112	0.9956	0.0	7.0617	620.64
113	0.9956	0.0	7.0075	627.65
114	0.9956	0.0	6.9778	634.63
115	0.9956	0.0	7.0375	641.67
116	0.9956	0.0	7.1409	648.81
117	0.9956	0.0	6.948	655.76
118	0.9956	0.0	7.0067	662.76
119	0.9956	0.0	6.9429	669.71
120	0.9956	0.0	6.9076	676.61
121	0.9956	0.0	7.0323	683.65
122	0.9956	0.0	7.1294	690.77
123	0.9956	0.0	7.0158	697.79
124	0.9956	0.0	7.9411	705.73
125	0.9956	0.0	10.9805	716.71
126	0.9956	0.0	11.2951	728.01
127	0.9956	0.0	10.836	738.84
128	0.9562	-0.6	8.9146	747.76
129	0.9101	-0.7	7.9556	755.71
130	0.897	-0.2	8.859	764.57
131	0.897	0.0	8.4728	773.04
132	0.897	0.0	7.1913	780.24
133	0.897	0.0	5.7827	786.02
134	0.897	0.0	4.2449	790.26
135	0.897	0.0	3.0601	793.32
136	0.897	0.0	2.1421	795.47
137	0.897	0.0	1.0338	796.5
138	0.897	0.0	-0.038	796.46
139	0.897	0.0	-0.2027	796.26
140	0.897	0.0	-0.6859	795.57
141	0.897	0.0	-0.5689	795.0
142	0.8772	-0.3	-1.3034	793.7
143	0.8443	-0.5	-1.949	791.75
144	0.7785	-1.0	-2.4995	789.25
145	0.7127	-1.0	-2.9452	786.31
146	0.647	-1.0	-3.1847	783.12
147	0.5812	-1.0	-2.8925	780.23
148	0.5154	-1.0	-3.051	777.18
149	0.4496	-1.0	-2.901	774.28
150	0.3838	-1.0	-3.3041	770.97
151	0.318	-1.0	-3.1846	767.79
152	0.2785	-0.6	-1.8358	765.95
153	0.2588	-0.3	-0.8865	765.07
154	0.2259	-0.5	-1.9967	763.07
155	0.2259	0.0	-0.8171	762.25
