t	soc	u	cost	cumCost
1	0.0594	1.0	9.2	9.2
2	0.1188	1.0	9.2893	18.49
3	0.1781	1.0	9.1036	27.59
4	0.2375	1.0	9.1733	36.77
5	0.2969	1.0	9.1153	45.88
6	0.3562	1.0	9.2039	55.09
7	0.4156	1.0	9.1338	64.22
8	0.475	1.0	9.2446	73.46
9	0.5344	1.0	9.1224	82.59
10	0.5938	1.0	9.1682	91.75
11	0.6531	1.0	9.1871	100.94
12	0.7125	1.0	9.1839	110.13
13	0.7719	1.0	9.1761	119.3
14	0.8312	1.0	9.1722	128.47
15	0.8906	1.0	9.2866	137.76
16	0.95	1.0	9.083	146.84
17	0.9975	0.8	8.7136	155.56
18	0.9975	0.0	6.8313	162.39
19	0.9975	0.0	6.7099	169.1
20	0.9975	0.0	6.7168	175.81
21	0.9975	0.0	6.7204	182.54
22	0.9975	0.0	6.8837	189.42
23	0.9975	0.0	6.6779	196.1
24	0.9975	0.0	6.6064	202.7
25	0.9975	0.0	6.8038	209.51
26	0.9975	0.0	6.8329	216.34
27	0.9975	0.0	6.7914	223.13
28	0.9975	0.0	7.5542	230.69
29	0.9317	-1.0	7.0168	237.7
30	0.8659	-1.0	7.8946	245.6
31	0.8001	-1.0	7.2279	252.82
32	0.7343	-1.0	6.4098	259.23
33	0.6686	-1.0	5.6948	264.93
34	0.6028	-1.0	4.8631	269.79
35	0.537	-1.0	3.5649	273.36
36	0.4712	-1.0	2.4399	275.8
37	0.4054	-1.0	1.4263	277.22
38	0.3396	-1.0	0.3394	277.56
39	0.2738	-1.0	-0.4494	277.11
40	0.2343	-0.6	-0.3887	276.72
41	0.2146	-0.3	-0.3705	276.35
42	0.2146	0.0	-0.2191	276.14
43	0.2265	0.2	-0.4045	275.73
44	0.2562	0.5	-0.5374	275.19
45	0.3096	0.9	-0.2098	274.98
46	0.369	1.0	-0.2281	274.76
47	0.4284	1.0	-0.528	274.23
48	0.4877	1.0	-0.6931	273.53
49	0.5471	1.0	-0.8591	272.68
50	0.6065	1.0	-0.9265	271.75
51	0.6659	1.0	-0.973	270.78
52	0.7252	1.0	-1.0361	269.74
53	0.7846	1.0	-1.1739	268.57
54	0.844	1.0	-0.1987	268.37
55	0.9034	1.0	-1.3967	266.97
56	0.9627	1.0	-1.3066	265.66
57	0.9984	0.6	-1.5951	264.07
58	0.9984	0.0	-2.3811	261.69
59	0.9984	0.0	-1.7088	259.98
60	0.9984	0.0	-1.9396	258.04
61	0.9984	0.0	-1.7049	256.33
62	0.9984	0.0	-1.3243	255.01
63	0.9984	0.0	-0.929	254.08
64	0.9984	0.0	-0.5032	253.58
65	0.9984	0.0	-0.3489	253.23
66	0.9984	0.0	-0.0706	253.16
67	0.9984	0.0	0.3927	253.55
68	0.9918	-0.1	1.1822	254.73
69	0.9589	-0.5	1.0049	255.74
70	0.9062	-0.8	1.6011	257.34
71	0.8405	-1.0	0.702	258.04
72	0.7747	-1.0	0.4605	258.5
73	0.7089	-1.0	1.3261	259.83
74	0.6431	-1.0	2.5525	262.38
75	0.5773	-1.0	4.1386	266.52
76	0.5115	-1.0	5.3601	271.88
77	0.4457	-1.0	6.431	278.31
78	0.3799	-1.0	5.0097	283.32
79	0.3141	-1.0	5.5781	288.9
80	0.2484	-1.0	6.0716	294.97
81	0.1826	-1.0	6.0651	301.03
82	0.1168	-1.0	6.4723	307.51
83	0.051	-1.0	6.3529	313.86
84	0.0049	-0.7	7.5382	321.4
85	0.0049	0.0	9.7478	331.15
86	0.0049	0.0	9.4829	340.63
87	0.0049	0.0	9.6262	350.25
88	0.0049	0.0	9.345	359.6
89	0.0049	0.0	9.6225	369.22
90	0.0049	0.0	9.4708	378.69
91	0.0049	0.0	9.4926	388.19
92	0.0049	0.0	9.4693	397.65
93	0.0643	1.0	9.7107	407.37
94	0.1237	1.0	9.6728	417.04
95	0.1831	1.0	9.446	426.48
96	0.2424	1.0	9.4147	435.9
97	0.3018	1.0	9.4582	445.36
98	0.3612	1.0	9.5283	454.89
99	0.4206	1.0	9.5355	464.42
100	0.4799	1.0	9.5594	473.98
101	0.5393	1.0	9.5267	483.51
102	0.5987	1.0	9.5148	493.02
103	0.6581	1.0	9.366	502.39
104	0.7174	1.0	9.6092	512.0
105	0.7768	1.0	9.4708	521.47
106	0.8362	1.0	9.5361	531.0
107	0.8956	1.0	9.5385	540.54
108	0.9549	1.0	9.3848	549.93
109	0.9965	0.7	8.7553	558.68
110	0.9965	0.0	6.9743	565.66
111	0.9965	0.0	7.1256	572.78
112	0.9965	0.0	7.0617	579.84
113	0.9965	0.0	7.0075	586.85
114	0.9965	0.0	6.9778	593.83
115	0.9965	0.0	7.0375	600.87
116	0.9965	0.0	7.1409	608.01
117	0.9965	0.0	6.948	614.96
118	0.9965	0.0	7.0067	621.96
119	0.9965	0.0	6.9429	628.91
120	0.9965	0.0	6.9076	635.81
121	0.9965	0.0	7.0323	642.85
122	0.9965	0.0	7.1294	649.97
123	0.9965	0.0	7.0158	656.99
124	0.9965	0.0	7.9411	664.93
125	0.9307	-1.0	7.793	672.72
126	0.8649	-1.0	8.1076	680.83
127	0.7991	-1.0	7.6485	688.48
128	0.7333	-1.0	7.6396	696.12
129	0.6675	-1.0	6.9993	703.12
130	0.6018	-1.0	6.309	709.43
131	0.536	-1.0	5.2853	714.71
132	0.4702	-1.0	4.0038	718.72
133	0.4044	-1.0	2.5952	721.31
134	0.3386	-1.0	1.0574	722.37
135	0.2728	-1.0	-0.0525	722.32
136	0.2136	-0.9	-0.2992	722.02
137	0.1741	-0.6	-0.3618	721.66
138	0.1544	-0.3	-0.4317	721.23
139	0.1603	0.1	-0.0714	721.15
140	0.1722	0.2	-0.4234	720.73
141	0.2019	0.5	0.2123	720.94
142	0.2256	0.4	-0.3847	720.56
143	0.2672	0.7	-0.374	720.18
144	0.3206	0.9	-0.0058	720.18
145	0.3741	0.9	-0.4515	719.73
146	0.4335	1.0	-0.5597	719.17
147	0.4928	1.0	-0.2675	718.9
148	0.5522	1.0	-0.426	718.47
149	0.6116	1.0	-0.276	718.2
150	0.671	1.0	-0.6791	717.52
151	0.7303	1.0	-0.5596	716.96
152	0.7897	1.0	0.6417	717.6
153	0.8372	0.8	1.3534	718.95
154	0.855	0.3	-0.9467	718.01
