t	soc	u	cost	cumCost
1	0.0594	1.0	9.2	9.2
2	0.1188	1.0	9.2893	18.49
3	0.1781	1.0	9.1036	27.59
4	0.2375	1.0	9.1733	36.77
5	0.2969	1.0	9.1153	45.88
6	0.3562	1.0	9.2039	55.09
7	0.4156	1.0	9.1338	64.22
8	0.475	1.0	9.2446	73.46
9	0.5344	1.0	9.1224	82.59
10	0.5938	1.0	9.1682	91.75
11	0.6531	1.0	9.1871	100.94
12	0.7125	1.0	9.1839	110.13
13	0.7719	1.0	9.1761	119.3
14	0.8312	1.0	9.1722	128.47
15	0.8906	1.0	9.2866	137.76
16	0.95	1.0	9.083	146.84
17	0.9975	0.8	8.7136	155.56
18	0.9975	0.0	6.8313	162.39
19	0.9975	0.0	6.7099	169.1
20	0.9975	0.0	6.7168	175.81
21	0.9975	0.0	6.7204	182.54
22	0.9975	0.0	6.8837	189.42
23	0.9975	0.0	6.6779	196.1
24	0.9975	0.0	6.6064	202.7
25	0.9975	0.0	6.8038	209.51
26	0.9975	0.0	6.8329	216.34
27	0.9975	0.0	6.7914	223.13
28	0.9975	0.0	7.5542	230.69
29	0.9317	-1.0	7.0168	237.7
30	0.8659	-1.0	7.8946	245.6
31	0.8001	-1.0	7.2279	252.82
32	0.7343	-1.0	6.4098	259.23
33	0.6686	-1.0	5.6948	264.93
34	0.6028	-1.0	4.8631	269.79
35	0.537	-1.0	3.5649	273.36
36	0.4712	-1.0	2.4399	275.8
37	0.4712	0.0	4.6138	280.41
38	0.4054	-1.0	0.3394	280.75
39	0.3396	-1.0	-0.4494	280.3
40	0.2738	-1.0	-0.9137	279.39
41	0.2607	-0.2	-0.2393	279.15
42	0.208	-0.8	-1.2691	277.88
43	0.1949	-0.2	-0.9295	276.95
44	0.1751	-0.3	-1.5874	275.36
45	0.2048	0.5	-0.7348	274.63
46	0.1982	-0.1	-1.6718	272.96
47	0.2279	0.5	-1.1842	271.77
48	0.2213	-0.1	-2.1369	269.63
49	0.257	0.6	-1.3841	268.25
50	0.2629	0.1	-2.1078	266.14
51	0.3223	1.0	-0.973	265.17
52	0.3817	1.0	-1.0361	264.13
53	0.441	1.0	-1.1739	262.96
54	0.5004	1.0	-0.1987	262.76
55	0.5598	1.0	-1.3967	261.36
56	0.6192	1.0	-1.3066	260.06
57	0.6785	1.0	-1.0701	258.99
58	0.7201	0.7	-1.4623	257.53
59	0.7795	1.0	-0.3963	257.13
60	0.827	0.8	-0.8896	256.24
61	0.8567	0.5	-1.0486	255.19
62	0.9042	0.8	-0.2743	254.92
63	0.9279	0.4	-0.404	254.51
64	0.9576	0.5	0.3716	254.88
65	0.9695	0.2	-0.0864	254.8
66	0.9695	0.0	-0.0706	254.73
67	0.9695	0.0	0.3927	255.12
68	0.9695	0.0	1.5009	256.62
69	0.9497	-0.3	1.6424	258.26
70	0.9103	-0.6	2.2386	260.5
71	0.8576	-0.8	1.3395	261.84
72	0.7984	-0.9	0.7793	262.62
73	0.7458	-0.8	1.9636	264.58
74	0.68	-1.0	2.5525	267.14
75	0.6142	-1.0	4.1386	271.28
76	0.5484	-1.0	5.3601	276.64
77	0.4826	-1.0	6.431	283.07
78	0.4168	-1.0	5.0097	288.08
79	0.3511	-1.0	5.5781	293.65
80	0.2853	-1.0	6.0716	299.73
81	0.2195	-1.0	6.0651	305.79
82	0.1537	-1.0	6.4723	312.26
83	0.1076	-0.7	7.3091	319.57
84	0.0418	-1.0	6.582	326.15
85	0.0221	-0.3	8.7915	334.95
86	0.0024	-0.3	8.5266	343.47
87	0.0024	0.0	9.6262	353.1
88	0.0024	0.0	9.345	362.44
89	0.0024	0.0	9.6225	372.07
90	0.0024	0.0	9.4708	381.54
91	0.0024	0.0	9.4926	391.03
92	0.0024	0.0	9.4693	400.5
93	0.0617	1.0	9.7107	410.21
94	0.1211	1.0	9.6728	419.88
95	0.1805	1.0	9.446	429.33
96	0.2399	1.0	9.4147	438.74
97	0.2992	1.0	9.4582	448.2
98	0.3586	1.0	9.5283	457.73
99	0.418	1.0	9.5355	467.26
100	0.4774	1.0	9.5594	476.82
101	0.5367	1.0	9.5267	486.35
102	0.5961	1.0	9.5148	495.87
103	0.6555	1.0	9.366	505.23
104	0.7149	1.0	9.6092	514.84
105	0.7742	1.0	9.4708	524.31
106	0.8336	1.0	9.5361	533.85
107	0.893	1.0	9.5385	543.39
108	0.9524	1.0	9.3848	552.77
109	0.9999	0.8	8.999	561.77
110	0.9999	0.0	6.9743	568.74
111	0.9999	0.0	7.1256	575.87
112	0.9999	0.0	7.0617	582.93
113	0.9999	0.0	7.0075	589.94
114	0.9999	0.0	6.9778	596.92
115	0.9999	0.0	7.0375	603.95
116	0.9999	0.0	7.1409	611.1
117	0.9999	0.0	6.948	618.04
118	0.9999	0.0	7.0067	625.05
119	0.9999	0.0	6.9429	631.99
120	0.9999	0.0	6.9076	638.9
121	0.9999	0.0	7.0323	645.93
122	0.9999	0.0	7.1294	653.06
123	0.9999	0.0	7.0158	660.08
124	0.9999	0.0	7.9411	668.02
125	0.9341	-1.0	7.793	675.81
126	0.8683	-1.0	8.1076	683.92
127	0.8025	-1.0	7.6485	691.57
128	0.7367	-1.0	7.6396	699.21
129	0.6709	-1.0	6.9993	706.21
130	0.6051	-1.0	6.309	712.52
131	0.5393	-1.0	5.2853	717.8
132	0.4736	-1.0	4.0038	721.81
133	0.4736	0.0	5.7827	727.59
134	0.4078	-1.0	1.0574	728.65
135	0.342	-1.0	-0.0525	728.59
136	0.2762	-1.0	-0.4305	728.16
137	0.2367	-0.6	-0.3618	727.8
138	0.1709	-1.0	-1.3505	726.45
139	0.1512	-0.3	-0.5964	725.85
140	0.1183	-0.5	-1.3422	724.51
141	0.1302	0.2	-0.3064	724.21
142	0.1038	-0.4	-1.4347	722.77
143	0.1098	0.1	-1.1615	721.61
144	0.09	-0.3	-1.5808	720.03
145	0.1019	0.2	-1.3702	718.66
146	0.1079	0.1	-1.7409	716.92
147	0.1672	1.0	-0.2675	716.65
148	0.2207	0.9	-0.5573	716.09
149	0.28	1.0	-0.276	715.82
150	0.3394	1.0	-0.6791	715.14
151	0.3988	1.0	-0.5596	714.58
152	0.4582	1.0	0.6417	715.22
153	0.5057	0.8	1.3534	716.57
