site	dr2	ds
1	0.011274	0.098875
2	0.009786	0.030482
3	0.012822	0.150046
4	0.007584	-0.036416
5	0.013249	0.056326
6	0.006798	-0.02352
7	0.006341	-0.024915
8	0.01385	-0.004524
9	0.017992	0.147701
10	0.009944	-0.062006
11	0.010642	-0.014271
12	0.006762	-0.010442
13	0.012536	-0.049533
14	0.011712	-0.010368
15	0.010302	-0.030466
16	0.01785	-0.065895
17	0.004047	-0.027666
18	0.009862	-0.036495
19	0.019375	-0.04113
20	0.016143	-0.046951
21	0.017088	-0.067186
22	0.011188	-0.02959
23	0.015247	-0.04219
24	0.012062	-0.034841
25	0.006674	-0.010941
26	0.008126	-0.013564
27	0.005703	-0.009297
28	0.008075	0.030299
29	0.011083	-0.013521
30	0.012548	-0.041081
31	0.004701	-0.015071
32	0.007738	-0.069444
33	0.005954	0.000963
34	0.054114	-0.023518
35	0.051289	-0.05339
36	0.023295	-0.017621
37	0.011201	-0.061181
38	0.009281	-0.015783
39	0.009316	-0.048954
40	0.032194	-0.046777
41	0.012531	-0.051105
42	0.022814	-0.070284
43	0.018895	-0.075662
44	0.009604	-0.03133
45	0.011002	-0.001787
46	0.037435	-0.172157
47	0.007392	-0.036674
48	0.098776	0.020975
49	0.009718	0.005001
50	0.016185	-0.07101
51	0.005594	-0.021329
52	0.023687	-0.022821
53	0.01942	-0.087337
54	0.013317	-0.038518
55	0.009888	-0.028893
56	0.023061	0.005308
57	0.006905	-0.047189
58	0.005195	-0.050095
59	0.020754	-0.022964
60	0.031803	-0.06682
61	0.027197	-0.067394
62	0.007446	0.055624
63	0.012218	-0.017677
64	0.012406	-0.027626
65	0.020937	-0.02286
66	0.012765	-0.019862
67	0.015159	-0.031304
68	0.00727	-0.028479
69	0.007188	-0.029272
70	0.006661	-0.006733
